SoundFile,Energy,Valence,Level,Soundtrack,introanimal
Stimuli/007.mp3,7.94,3.83,7.872,Batman Returns,Stimuli/anotherAnimal2.mp3
Stimuli/010.mp3,6.67,2.44,6.678,Oliwer Twist,Stimuli/hereComes.mp3
Stimuli/014.mp3,7.48,2.31,7.474,The Alien Trilogy,Stimuli/anotherAnimal.mp3
Stimuli/028.mp3,4.27,7.77,4.29,Grizzly Man,Stimuli/anotherAnimal2.mp3
Stimuli/031.mp3,3.19,5.02,3.096,The English Patient,Stimuli/anotherAnimal.mp3
Stimuli/034.mp3,3.52,4.85,3.494,Big Fish,Stimuli/anotherAnimal2.mp3
Stimuli/038.mp3,2.79,4.73,2.698,Dracula,Stimuli/anotherAnimal.mp3
Stimuli/067.mp3,4.72,4.72,4.688,Lethal weapon 3,Stimuli/anotherAnimal2.mp3
Stimuli/069.mp3,7.09,2.36,7.076,Hellraiser,Stimuli/anotherAnimal.mp3
Stimuli/078.mp3,5.87,5.3,5.882,Crouching Tiger,Stimuli/anotherAnimal.mp3
Stimuli/095.mp3,6.28,3.01,6.28,Oliwer Twist,Stimuli/anotherAnimal2.mp3
Stimuli/096.mp3,5.54,3.63,5.484,The Missing,Stimuli/anotherAnimal.mp3
Stimuli/100.mp3,5.09,3.22,5.086,Cape Fear,Stimuli/anotherAnimal.mp3
Stimuli/105.mp3,8.27,8.01,8.27,Pride & Prejudice,Stimuli/anotherAnimal2.mp3
Stimuli/109.mp3,2.28,5.37,2.3,Pride & Prejudice,Stimuli/anotherAnimal.mp3
Stimuli/110.mp3,3.9,6.75,3.892,Big Fish,Stimuli/anotherAnimal2.mp3
